,aid_type_general,aid_total_eur,aid_commit_usd,aid_delivered_usd,Year,Country Name,armed_forces,arms_exports,arms_imports,mil_exp_gdp_pct,mil_exp_usd
109,0,0.0,0.0,0.0,2020,Azerbaijan,82000.0,0.0,51000000.0,5.24152602506817,2237764705.88235
110,0,0.0,0.0,0.0,2021,Azerbaijan,0.0,0.0,0.0,4.93051740712765,2703176470.58824
111,0,0.0,0.0,0.0,2022,Azerbaijan,0.0,0.0,20000000.0,3.79953641226131,2991035294.11765
112,0,0.0,0.0,0.0,2023,Azerbaijan,0.0,0.0,3000000.0,4.60210314808281,3561670588.23529
113,0,0.0,0.0,0.0,2020,"Bahamas, The",2000.0,0.0,0.0,0.0,0.0
114,0,0.0,0.0,0.0,2020,Bahrain,19000.0,0.0,27000000.0,4.04564950980392,1404787234.04255
115,0,0.0,0.0,0.0,2021,Bahrain,0.0,0.0,184000000.0,3.55388299692097,1381382978.7234
116,0,0.0,0.0,0.0,2022,Bahrain,0.0,0.0,261000000.0,3.14569341444798,1381313829.78723
117,0,0.0,0.0,0.0,2023,Bahrain,0.0,0.0,294000000.0,3.10846000977851,1383776595.74468
118,0,0.0,0.0,0.0,2020,Bangladesh,227000.0,0.0,70000000.0,1.24468950875224,4651183348.26269
119,0,0.0,0.0,0.0,2021,Bangladesh,0.0,0.0,55000000.0,1.16873060016575,4849929469.84836
120,0,0.0,0.0,0.0,2022,Bangladesh,0.0,0.0,323000000.0,1.05198976442527,4473791826.02742
121,0,0.0,0.0,0.0,2023,Bangladesh,0.0,0.0,69000000.0,1.02281837589173,4207971900.94899
122,0,0.0,0.0,0.0,2020,Barbados,1000.0,0.0,0.0,0.0,0.0
123,0,0.0,0.0,0.0,2020,Belarus,158000.0,59000000.0,13000000.0,1.40325859867166,861053278.688525
124,0,0.0,0.0,0.0,2021,Belarus,0.0,111000000.0,69000000.0,1.36528926554311,951238823.019656
125,0,0.0,0.0,0.0,2022,Belarus,0.0,58000000.0,208000000.0,1.64869313490861,1105174741.30497
126,0,0.0,0.0,0.0,2023,Belarus,0.0,45000000.0,161000000.0,1.79770336310455,1403134160.09019
127,0,0.0,0.0,0.0,2020,Belgium,24000.0,29000000.0,90000000.0,1.01248470692312,5317451270.94495
128,0,0.0,0.0,0.0,2021,Belgium,0.0,95000000.0,255000000.0,1.03872662668212,6239356669.82025
129,Humanitarian,3400000.0,52000.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
130,Humanitarian,0.0,0.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
131,Humanitarian,0.0,450000.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
132,Humanitarian,230000.0,0.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
133,Humanitarian,60600000.0,0.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
134,Humanitarian,800000.0,0.0,0.0,2022,Belgium,0.0,146000000.0,170000000.0,1.18239642570098,6890161299.82246
