Country Name,aid_type_general,aid_type_specific,reporting_currency,measure,source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_activity_value_constant_currency,tot_sub_activity_value,tot_sub_activity_value_EUR,tot_sub_activity_value_constant_currency,tot_sub_activity_value_constant_currency_redistr,tot_sub_activity_value_EUR_redistr,tot_value_deliv_EUR,Year,Country Code,"Armed forces personnel, total",Arms exports (SIPRI trend indicator values),Arms imports (SIPRI trend indicator values),Military expenditure (% of GDP),Military expenditure (current USD)
Australia,Military,Equipment,AUD,Allocation,20000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Australia,Military,Equipment,AUD,Allocation,20000000,,,,,,,,,,2023,AUS,0.0,80000000.0,379000000.0,1.92219906285917,32340013664.9176
Austria,Humanitarian,Equipment,USD,Allocation,Not given,1181578.59375,1041781.8828855833,871077.4843476183,1181578.59375,1041781.8828855833,871077.4843476183,871077.4843476183,1041781.8828855833,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,,,,,,,,,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Assistance,EUR,Commitment,54400000,54400000,54400000,51088112.22464313,,,,,,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Equipment,USD,Allocation,Not given,11430000,10817903.35903084,9045302.283237314,11430000,10817903.35903084,9045302.283237314,9045302.283237314,10817903.35903084,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Budgetary appropriations,EUR,Commitment,625000000,625000000,625000000,586949818.757389,,,,,,.,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Reconstruction,EUR,Allocation,200000000,,,,200000000,200000000.0,187823942.00236446,187823942.00236446,200000000.0,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
Austria,Humanitarian,Reconstruction,EUR,Allocation,350000000,,,,350000000,350000000.0,328691898.5041378,328691898.5041378,350000000.0,,2022,AUT,0.0,3000000.0,5000000.0,0.768528566154672,3612733177.95148
