Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Norway,NOR,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,4.12432956795716,3.9394655597737,4.49696748041815,4.1336572883415,4.11729639410069,3.77164703203461,3.56885099919389,3.56074219436592,3.44664850554426,3.5024317448331,3.38991973763701,3.33412846602453,3.28579108820088,3.23384640588581,3.23330512682439,3.10792988037247,3.20846729269457,3.46388727572821,3.5964521461819,3.67256073586337,3.46581244461647,3.62132536621435,3.89568808023564,4.00192261475607,..
Poland,POL,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.37181193032896,1.29703589751642,1.06325300180136,1.06841457127432,0.940396344551701,0.925519027642854,0.856325628234907,0.82209442449193,0.817060357391342,0.681764933291491,0.673199474216793,0.652154889907636,0.947337887284016,0.945490786364742,0.939149731790365,0.941785187360447,0.970320590877377,1.03471120208143,1.06713036654816,1.02820491199056,1.04273342249716,..,..,..,..
Poland,POL,"Armed forces personnel, total",MS.MIL.TOTL.P1,238800,228000,184400,184400,162000,162000,148000,142000,143000,121400,121400,118050,172700,172700,172700,172700,178400,191000,196700,189000,189000,..,..,..,..
Poland,POL,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.83033658531361,1.90563800121799,1.90063864932514,1.90804203657513,1.8732410064926,1.92612986992008,1.92075038034244,2.00203282841042,1.75213971068109,1.79741622783841,1.84785215509548,1.80318361835199,1.81467677038876,1.79844993577184,1.91903675982857,2.1405458303192,1.94921770662177,1.90165998081495,2.04480024979944,1.97509539032691,2.28748515617247,2.24262361370911,2.22856108974913,3.83272853898223,..
Poland,POL,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,4.2442264713186,4.24106760712879,4.19584742670087,4.1768214576837,4.31049577421718,4.35394938037748,4.32100349616516,4.66670592507533,3.96663972345345,3.99304403018787,3.99582100892784,4.05983308528475,4.17824275667511,4.1424633223073,4.47249939698272,5.12868590490832,4.71575940658428,4.59126580660087,4.93352984491243,4.71654739618877,4.74114037965368,5.08625311371413,5.10092003253319,8.11915596843084,..
Portugal,PRT,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.73010975969253,1.6869152729935,1.66094563171299,1.7022703433255,1.6803281034506,1.70289405929843,1.65541740804202,1.64569520495054,1.64508977761098,1.66021503650777,1.64599590459805,1.66428052213069,1.67909344573404,1.51160833802023,1.49511713122821,1.41640851530943,1.43869859766475,0.996759764028627,0.998874378499406,0.990699994322527,1.01203346716827,..,..,..,..
Portugal,PRT,"Armed forces personnel, total",MS.MIL.TOTL.P1,90500,90000,90000,92600,91000,93000,91000,91000,91000,91040,90334,90300,90300,79850,78100,73600,74500,52000,52250,52000,52000,..,..,..,..
Portugal,PRT,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,1.4064679631307,1.44450317171971,1.46402023240966,1.43269340811947,1.5048739869189,1.59379180313443,1.51208523296058,1.37790810197484,1.41594674624287,1.53406376621365,1.48821803172514,1.4917984786847,1.40585994869538,1.44112106338382,1.30768664159842,1.32655839631643,1.54110296138377,1.2370678817014,1.34025963919119,1.37469631433049,1.429790701133,1.51953308872168,1.39926906492031,1.51929712406409,..
Portugal,PRT,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,3.28420354668237,3.27502188879516,3.31542282636899,3.16275978733688,3.27281550626588,3.40993428421067,3.34887438390835,3.09298131163897,3.12292195157993,3.05451821246552,2.86753347064882,2.98224502769957,2.87561681129828,2.88678447222483,2.52996154190144,2.75533673127377,3.43714121699196,2.72675118395446,3.09956944162665,3.23903103842434,2.90402633578121,3.20177106800472,3.16667289230884,3.44220286894268,..
Romania,ROU,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,3.03453285517362,1.93605855489516,1.96292278874446,1.94003909874394,1.9307223896551,1.94640630714819,1.69892491149043,1.7090102819867,1.73266497008945,1.86677611230718,1.78885154683901,1.78142975456302,1.78439443868058,1.78885504291597,1.77966123624938,1.75219816988493,1.76070943845288,1.47195384700395,1.49021279791455,1.48778528282798,1.52204992537794,..,..,..,..
Romania,ROU,"Armed forces personnel, total",MS.MIL.TOTL.P1,282900,178900,179100,177100,176000,177000,154000,153000,153000,151645,153800,151300,151300,151300,151300,150400,149200,126000,126600,126000,128000,..,..,..,..
Romania,ROU,Military expenditure (% of GDP),MS.MIL.XPND.GD.ZS,2.49891418426016,2.4207451879196,2.28729607547664,2.08848713354877,2.00765756131918,2.00699360911993,1.84512546001227,1.49361825981328,1.39998436558161,1.27806961233722,1.22697660697606,1.23556866931776,1.17392522752233,1.29223076714816,1.3476637836228,1.45071824376782,1.42770454147789,1.73375510218939,1.79144423500295,1.83559871426307,2.00950429821317,1.85259347107342,1.72487428747058,1.61389529499238,..
Romania,ROU,Military expenditure (% of general government expenditure),MS.MIL.XPND.ZS,7.16781365802012,7.35744374807356,7.14627855563744,6.79839502129053,6.06443308358329,6.21336067342974,5.44971994829815,4.32116133504598,3.96918180529077,3.51962320133622,3.27792500593308,3.53220969406633,3.50769282564051,3.7819225244428,3.99254349443696,4.24646504481855,4.48779835416745,5.58939434662952,5.64601729197543,5.51057555276488,5.26286070616656,4.98782986720404,4.6845350815175,4.3681425815142,..
