source_reported_value,tot_activity_value,tot_activity_value_EUR,tot_sub_activity_value,tot_sub_activity_value_EUR,item_value_estimate_USD,item_value_estimate_deliv_USD
,,,,,,
20000000.0,20000000.0,18887865.0,20000000.0,18887865.0,,
413574472.0,413574472.0,211460513.0,413574472.0,211460513.0,13237.0,13237.0
413574472.0,,,,,296175.0,296175.0
413574472.0,,,,,,
,3077222.0,2782766.0,3077222.0,2782766.0,3077222.0,3077222.0
,,,,,,
,,,,,,
60000.0,60000.0,60000.0,60000.0,60000.0,,
500000000.0,500000000.0,346687745.0,500000000.0,346687745.0,,
1000000000.0,1000000000.0,732476464.0,1000000000.0,732476464.0,,
250000000.0,250000000.0,183981562.0,250000000.0,183981562.0,,
200000000.0,200000000.0,147745207.0,200000000.0,147745207.0,,
3850000.0,3850000.0,2943875.0,3850000.0,2943875.0,,
36500000.0,36500000.0,36500000.0,36500000.0,36500000.0,,
500000000.0,500000000.0,370993273.0,500000000.0,370993273.0,,
86000000.0,86000000.0,81217818.0,86000000.0,81217818.0,,
2400000000.0,2400000000.0,1622541305.0,2400000000.0,1622541305.0,,
1620000000.0,1620000000.0,1112299046.0,,,,
780000000.0,780000000.0,532028921.0,,,,
2000000000.0,,,2000000000.0,1358137450.0,,
15400000.0,15400000.0,10440855.0,15400000.0,10440855.0,,
400000000.0,400000000.0,266792717.0,400000000.0,266792717.0,,
5000000000.0,5000000000.0,3334908957.0,,,,
2500000000.0,,,2500000000.0,1678601523.0,,
2300000000.0,,,2300000000.0,1459964332.0,,
50000000.0,50000000.0,35008519.0,50000000.0,35008519.0,,
50000000.0,50000000.0,35843188.0,50000000.0,35843188.0,,
100000000.0,100000000.0,73247646.0,,,,
2000000.0,,,2000000.0,1471852.0,,
9000000.0,,,9000000.0,6623336.0,,
5000000.0,,,5000000.0,3693630.0,,
1000000.0,,,1000000.0,738726.0,,
2000000.0,,,2000000.0,1477452.0,,
3000000.0,,,3000000.0,2216178.0,,
3000000.0,,,3000000.0,2216178.0,,
2000000.0,,,2000000.0,1477452.0,,
7000000.0,,,7000000.0,5171082.0,,
25000000.0,,,25000000.0,18468151.0,,
23000000.0,,,23000000.0,16990699.0,,
2000000.0,,,2000000.0,1477452.0,,
15000000.0,,,15000000.0,11080891.0,,
75000000.0,75000000.0,55404453.0,75000000.0,55404453.0,,
52000000.0,52000000.0,38413754.0,52000000.0,38413754.0,,
9700000.0,9700000.0,7165643.0,9700000.0,7165643.0,,
10000000.0,10000000.0,7294865.0,10000000.0,7294865.0,,
115000000.0,115000000.0,79979864.0,115000000.0,79979864.0,,
2700000.0,2700000.0,1847092.0,2700000.0,1847092.0,,
8300000.0,8300000.0,5740861.0,8300000.0,5740861.0,,
2000000.0,2000000.0,1471852.0,2000000.0,1471852.0,,
75000000.0,75000000.0,51495326.0,75000000.0,51495326.0,,
15000000.0,15000000.0,10299065.0,15000000.0,10299065.0,,
10000000.0,10000000.0,6866043.0,10000000.0,6866043.0,,
10000000.0,10000000.0,6866043.0,10000000.0,6866043.0,,
4000000.0,4000000.0,2746417.0,4000000.0,2746417.0,,
10000000.0,10000000.0,6866043.0,10000000.0,6866043.0,,
5000000.0,5000000.0,3433022.0,5000000.0,3433022.0,,
4000000.0,4000000.0,2746417.0,4000000.0,2746417.0,,
3500000.0,3500000.0,2403115.0,3500000.0,2403115.0,,
4000000.0,4000000.0,2746417.0,4000000.0,2746417.0,,
4000000.0,4000000.0,2746417.0,4000000.0,2746417.0,,
2500000.0,2500000.0,1716511.0,2500000.0,1716511.0,,
2400000.0,2400000.0,1647850.0,2400000.0,1647850.0,,
2000000.0,2000000.0,1373209.0,2000000.0,1373209.0,,
1500000.0,1500000.0,1029907.0,1500000.0,1029907.0,,
930000.0,930000.0,638542.0,930000.0,638542.0,,
750000.0,750000.0,514953.0,750000.0,514953.0,,
15000000.0,15000000.0,10169664.0,15000000.0,10169664.0,,
20000000.0,20000000.0,13559552.0,20000000.0,13559552.0,,
2000000.0,2000000.0,1355955.0,2000000.0,1355955.0,,
10000000.0,10000000.0,6644819.0,10000000.0,6644819.0,,
5700000.0,5700000.0,3787547.0,5700000.0,3787547.0,,
15000000.0,15000000.0,10071609.0,15000000.0,10071609.0,,
2200000.0,2200000.0,1477169.0,2200000.0,1477169.0,,
50000000.0,50000000.0,32220350.0,50000000.0,32220350.0,,
700000.0,700000.0,444337.0,700000.0,444337.0,,
11700000.0,11700000.0,7426775.0,11700000.0,7426775.0,,
109666667.0,109666667.0,76785351.0,109666667.0,76785351.0,,
109666667.0,109666667.0,76785351.0,109666667.0,76785351.0,,
109666667.0,109666667.0,76785351.0,109666667.0,76785351.0,,
3000000.0,3000000.0,2080126.0,3000000.0,2080126.0,,
3000000.0,,,3000000.0,2080126.0,,
3000000.0,,,,,,
3000000.0,,,,,,
3000000.0,,,3000000.0,2080126.0,,
3000000.0,,,,,,
10000000.0,10000000.0,6933755.0,10000000.0,6933755.0,126193.0,126193.0
10000000.0,,,10000000.0,6933755.0,2543940.0,2543940.0
10000000.0,,,,,300000.0,300000.0
10000000.0,,,,,1168758.0,1168758.0
10000000.0,,,,,7500000.0,7500000.0
10000000.0,,,,,,
10000000.0,,,,,,
10000000.0,,,,,,
10000000.0,,,,,907421.0,907421.0
10000000.0,,,,,15000.0,15000.0
10000000.0,,,,,6982.0,6982.0
10000000.0,,,,,18780.0,18780.0
12000000.0,12000000.0,8320506.0,12000000.0,8320506.0,,
12000000.0,,,,,,
12000000.0,,,,,800000.0,800000.0
12000000.0,12000000.0,8320506.0,12000000.0,8320506.0,3833453.0,3833453.0
12000000.0,,,,,3500000.0,3500000.0
10000000.0,10000000.0,7168638.0,10000000.0,7168638.0,8580000.0,8580000.0
7000000.0,7000000.0,5018046.0,7000000.0,5018046.0,6637500.0,6637500.0
7000000.0,,,,,337500.0,337500.0
1000000.0,1000000.0,716864.0,1000000.0,716864.0,,
50000000.0,50000000.0,35843188.0,,,,
500000000.0,500000000.0,366238232.0,,,,
,,,22430000.0,20732550.0,20680000.0,20680000.0
,,,,,1750000.0,1750000.0
,,,8866667.0,8195658.0,8866667.0,8866667.0
,,,2800000.0,2588103.0,2800000.0,2800000.0
50000000.0,,,50000000.0,36796312.0,17193237.0,17193237.0
50000000.0,,,,,10889050.0,10889050.0
50000000.0,,,,,332690.0,332690.0
50000000.0,,,,,9137.0,9137.0
50000000.0,,,,,163810.0,163810.0
50000000.0,,,,,211800.0,211800.0
50000000.0,,,,,8486.0,8486.0
50000000.0,,,,,80.0,80.0
50000000.0,,,,,8866667.0,8866667.0
98000000.0,,,98000000.0,72120772.0,76000000.0,76000000.0
9000000.0,,,9000000.0,6648534.0,7046131.0,7046131.0
,,,5731079.0,5424169.0,5731079.0,5731079.0
245000000.0,,,245000000.0,180987878.0,169516867.0,169516867.0
47000000.0,,,47000000.0,34873368.0,1809733.0,1809733.0
47000000.0,,,,,49669350.0,49669350.0
47000000.0,,,,,14534884.0,14534884.0
500000000.0,500000000.0,364743254.0,500000000.0,364743254.0,50000000.0,50000000.0
500000000.0,,,500000000.0,364743254.0,,
92000000.0,,,92000000.0,63561850.0,70000000.0,70000000.0
34000000.0,34000000.0,24802541.0,34000000.0,24802541.0,,
,8552294.0,7941586.0,8552294.0,7941586.0,8552294.0,8552294.0
,17780273.0,16593660.0,17780273.0,16593660.0,3878000.0,3878000.0
,,,,,5349979.0,5349979.0
,,,,,8552294.0,8552294.0
32000000.0,32000000.0,22222840.0,32000000.0,22222840.0,,
,22913469.0,21402803.0,22913469.0,21402803.0,6204800.0,
,,,,,16708669.0,16708669.0
,,,,,,
59000000.0,59000000.0,39887474.0,59000000.0,39887474.0,35062740.0,35062740.0
59000000.0,,,,,300200.0,300200.0
59000000.0,,,,,,
34600000.0,34600000.0,23391637.0,34600000.0,23391637.0,,
2500000.0,2500000.0,1690147.0,2500000.0,1690147.0,1814842.0,1814842.0
2000000.0,2000000.0,1352118.0,2000000.0,1352118.0,1451873.0,
,19551655.0,17990941.0,19551655.0,17990941.0,19551655.0,19551655.0
470000000.0,470000000.0,326072903.0,,,,
33000000.0,,,33000000.0,22825110.0,,
76000000.0,,,76000000.0,52566919.0,55171186.0,55171186.0
,,,,,,
25000000.0,,,25000000.0,17271862.0,1551200.0,1551200.0
25000000.0,,,,,267868.0,267868.0
25000000.0,,,25000000.0,17271862.0,,
25000000.0,,,25000000.0,17271862.0,140120.0,140120.0
25000000.0,,,,,,
25000000.0,,,25000000.0,17271862.0,,
48800000.0,,,48800000.0,33384479.0,,
60000000.0,,,60000000.0,40464111.0,18366197.0,18366197.0
60000000.0,,,,,45000000.0,45000000.0
